country	year	percent
NV	1916	0
NV	1917	0
NV	1918	0
NV	1919	0
NV	1920	0
NV	1921	0
NV	1922	0
NV	1923	0
NV	1924	0
NV	1925	0
NV	1926	0
NV	1927	0
NV	1928	0
NV	1929	0
NV	1930	0
NV	1931	0
NV	1932	0
NV	1933	0
NV	1934	0
NV	1935	0
NV	1936	0
NV	1937	0
NV	1938	0
NV	1939	0
NV	1940	0
NV	1941	0
NV	1942	0
NV	1943	0
NV	1944	0
NV	1945	0
NV	1946	0
NV	1947	0
NV	1948	0
NV	1949	0
NV	1950	0
NV	1951	0
NV	1952	0
NV	1953	0
NV	1954	0
NV	1955	0
NV	1956	0
NV	1957	0
NV	1958	0
NV	1959	0
NV	1960	0
NV	1961	0
NV	1962	0
NV	1963	0
NV	1964	0
NV	1965	0
NV	1966	0
NV	1967	0
NV	1968	0
NV	1969	0
NV	1970	0
NV	1971	0
NV	1972	0
NV	1973	0
NV	1974	0
NV	1975	0
NV	1976	0
NV	1977	0
NV	1978	0
NV	1979	0
NV	1980	0
NV	1981	0
NV	1982	0
NV	1983	0
NV	1984	0
NV	1985	0
NV	1986	0
NV	1987	0
NV	1988	0
NV	1989	0
NV	1990	0
NV	1991	0
NV	1992	0
NV	1993	0
NV	1994	0
NV	1995	0
NV	1996	0
NV	1997	0
NV	1998	0
NV	1999	0
NV	2000	0
NV	2001	0
NV	2002	0
NV	2003	0
NV	2004	0
NV	2005	0
NV	2006	0
NV	2007	0
NV	2008	0
NV	2009	0
NV	2010	0
NV	2011	0
NM	1916	0
NM	1917	0
NM	1918	0.1745
NM	1919	0
NM	1920	0.19795
NM	1921	0.126873
NM	1922	0.216997
NM	1923	0.111625
NM	1924	0.030876
NM	1925	0.009796
NM	1926	0.028226
NM	1927	0.010825
NM	1928	0.0118
NM	1929	0.00618
NM	1930	0.019229
NM	1931	0.022462
NM	1932	0.033325
NM	1933	0.0195
NM	1934	0.012483
NM	1935	0.01545
NM	1936	0.007246
NM	1937	0.006118
NM	1938	0.001291
NM	1939	0.001208
NM	1940	0.00332
NM	1941	0.006021
NM	1942	0
NM	1943	0
NM	1944	0
NM	1945	0
NM	1946	0
NM	1947	0
NM	1948	0
NM	1949	0
NM	1950	0
NM	1951	0
NM	1952	0
NM	1953	0
NM	1954	0
NM	1955	0
NM	1956	0
NM	1957	0
NM	1958	0
NM	1959	0
NM	1960	0
NM	1961	0
NM	1962	0
NM	1963	0
NM	1964	0
NM	1965	0
NM	1966	0
NM	1967	0
NM	1968	0
NM	1969	0
NM	1970	0
NM	1971	0
NM	1972	0
NM	1973	0
NM	1974	0
NM	1975	0
NM	1976	0
NM	1977	0
NM	1978	0
NM	1979	0
NM	1980	0
NM	1981	0
NM	1982	0
NM	1983	0
NM	1984	0
NM	1985	0
NM	1986	0
NM	1987	0
NM	1988	0
NM	1989	0
NM	1990	0
NM	1991	0
NM	1992	0
NM	1993	0
NM	1994	0
NM	1995	0
NM	1996	0
NM	1997	0
NM	1998	0
NM	1999	0
NM	2000	0
NM	2001	0
NM	2002	0
NM	2003	0
NM	2004	0
NM	2005	0
NM	2006	0
NM	2007	0
NM	2008	0
NM	2009	0
NM	2010	0
NM	2011	0
DE	1916	0.020649
DE	1917	0.02
DE	1918	0.020984
DE	1919	0.030825
DE	1920	0.028895
DE	1921	0.020228
DE	1922	0.019278
DE	1923	0.06115
