MEASLES,MUMPS,PERTUSSIS,RUBELLA,SMALLPOX,DIPHTHERIA,POLIO,HEPATITIS A,year
0,0,0,0,0,4.375,0,0,1916
0,0,0,0,0,4.7543,0,0,1917
0,0,0,0,0,3.9091,0,0,1918
0,0,0,0,0,4.8923,0,0,1919
0,0,0,0,0,5.7044,0,0,1920
0,0,0,0,0,7.2433,0,0,1921
0,0,0,0,0,5.83,0,0,1922
0,0,0,0,0,4.7751,0,0,1923
0,0,0,0,0,2.8431,0,0,1924
0,0,0,0,0,2.1807,0,0,1925
0,0,0,0,0,2.1196,0,0,1926
0,0,0,0,0,2.0639,0,0,1927
7.8608,0,0,0,0.856,1.7696,0.0959,0,1928
5.5148,0,0,0,0.8335,1.5186,0.0399,0,1929
6.6981,0,0,0,0.8907,1.1372,0.1455,0,1930
7.0062,0,0,0,0.5526,1.2568,0.1787,0,1931
6.7354,0,0,0,0.2196,1.0734,0.0481,0,1932
5.2035,0,0,0,0.1139,0.902,0.0669,0,1933
13.0849,0,0,0,0.1175,0.8624,0.1253,0,1934
11.1134,0,0,0,0.2538,0.8323,0.1429,0,1935
5.8644,0,0,0,0.2664,0.5006,0.0629,0,1936
5.2229,0,0,0,0.3108,0.4214,0.1431,0,1937
11.2205,0,3.6495,0,0.3459,0.5496,0.0658,0,1938
8.8556,0,3.1553,0,0.2371,0.3993,0.1459,0,1939
5.7009,0,2.6245,0,0.0899,0.2278,0.1326,0,1940
9.6876,0,3.0876,0,0.0276,0.2324,0.1233,0,1941
8.7335,0,2.6613,0,0.015,0.2054,0.0686,0,1942
10.2895,0,2.5683,0,0.0133,0.1949,0.1752,0,1943
8.648,0,1.7526,0,0.01,0.2095,0.2181,0,1944
2.3628,0,1.7705,0,0.0095,0.2229,0.1977,0,1945
8.2861,0,1.5263,0,0.0072,0.2627,0.3562,0,1946
4.1196,0,2.0621,0,0.0035,0.2105,0.1945,0,1947
7.4877,0,1.2854,0,0.0165,0,0.4295,0,1948
9.0884,0,0.9061,0,0.0798,0,0.8416,0,1949
4.035,0,1.8913,0,0.1122,0,0.5556,0,1950
7.559,0,1.1507,0,0.1559,0,0.6079,0,1951
8.0473,0,0.9072,0,0.2007,0,0.9503,0,1952
6.1918,0,0.5525,0,0,0,0.5773,0,1953
8.0887,0,0.8746,0,0,0,0.6984,0,1954
7.8693,0,0.9367,0,0,0,0.4853,0,1955
7.6514,0,0,0,0,0,0.1935,0,1956
7.1983,0,0,0,0,0,0.0824,0,1957
9.1264,0,0,0,0,0,0.0802,0,1958
6.2371,0,0,0,0,0,0.1113,0,1959
6.068,0,0,0,0,0,0.0501,0,1960
5.1221,0,0,0,0,0,0.0199,0,1961
6.4624,0,0,0,0,0,0.0147,0,1962
5.3631,0,0,0,0,0,0.0079,0,1963
5.7899,0,0,0,0,0,0.0036,0,1964
3.6787,0,0,0,0,0,0.003,0,1965
2.1359,0,0,0.933,0,0,0.0036,0.3569,1966
0.7238,0,0,0.8693,0,0,0.0022,0.3932,1967
0.194,2.261,0,0.7507,0,0,0.0023,0.4409,1968
0.2512,1.5196,0,0.8553,0,0,0,0.4777,1969
0.4491,1.2863,0,0.5481,0,0,0,0.5625,1970
0.7612,1.2936,0,0.4505,0,0,0,0.6048,1971
0.3264,0.8165,0,0.2055,0,0,0,0.5502,1972
0.3091,0.8384,0,0.3115,0,0,0,0.5044,1973
0.1863,0.6723,0.0636,0.122,0,0,0,0.4348,1974
0.3042,0.5295,0.0625,0.1636,0,0,0,0.3869,1975
0.4585,0.3636,0.0411,0.1099,0,0,0,0.4314,1976
0.4682,0.1964,0.0791,0.17,0,0,0,0.356,1977
0.2761,0.1533,0.0579,0.1352,0,0,0,0.3173,1978
0.1136,0.1283,0.0511,0.126,0,0,0,0.3003,1979
0.1353,0.0821,0.0483,0.0362,0,0,0,0.2584,1980
0.0209,0.0442,0.0446,0.0243,0,0,0,0.2276,1981
0.0131,0.0413,0.0485,0.0154,0,0,0,0.2069,1982
0.0215,0.0309,0.0246,0.0105,0,0,0,0.2122,1983
0.0487,0.0251,0.0261,0.0074,0,0,0,0.2246,1984
0.0587,0.0246,0.037,0.0074,0,0,0,0.2612,1985
0.0674,0.0422,0.0634,0.0064,0,0,0,0.2397,1986
0.0623,0.1002,0.039,0.0104,0,0,0,0.2753,1987
0.0492,0.0739,0.0467,0.0061,0,0,0,0.2578,1988
0.1129,0.0619,0.0505,0.0089,0,0,0,0.3295,1989
0.1275,0.0507,0.0451,0.0166,0,0,0,0.2667,1990
0.096,0.0389,0.0318,0.0122,0,0,0,0.2374,1991
0.0265,0.0199,0.0432,0.0061,0,0,0,0.1889,1992
0.0126,0.0149,0.0673,0.0042,0,0,0,0.1935,1993
0.0186,0.014,0.0388,0.0055,0,0,0,0.2155,1994
0.006,0.008,0.0459,0.0042,0,0,0,0.2341,1995
0.022,0.0076,0.0661,0.0037,0,0,0,0.2312,1996
0.0308,0.0064,0.0734,0.0061,0,0,0,0.1881,1997
0.0059,0.0066,0.0615,0.0046,0,0,0,0.1414,1998
0.0018,0.0042,0.0478,0.0088,0,0,0,0.0932,1999
0.0027,0.0047,0.0612,0.0035,0,0,0,0.0725,2000
0.002,0.0053,0.0509,0.0008,0,0,0,0.0701,2001
0.0013,0.0026,0.0775,0.0002,0,0,0,0.049,2002
0,0,0.0802,0,0,0,0,0.0424,2003
0,0,0.2126,0,0,0,0,0.0338,2004
0,0,0.2233,0,0,0,0,0.0294,2005
0,0,0.0933,0,0,0,0,0.0176,2006
0,0,0.065,0,0,0,0,0.0166,2007
0,0,0.0669,0,0,0,0,0.0152,2008
0,0,0.0692,0,0,0,0,0.0107,2009
0,0,0.1069,0,0,0,0,0.0166,2010
0,0,0.087,0,0,0,0,0.0068,2011
